Sub-group,Yoga Pose,yes-no color value
Relieves Anxiety,Seated Forward Bend,1
Relieves Anxiety,Big Toe Pose,1
Relieves Anxiety,Standing Forward Bend,1
Relieves Anxiety,Corpse Pose,0
Relieves Anxiety,Supported Headstand,0
Relieves Anxiety,Supported Shoulderstand,0
Relieves Anxiety,Bridge Pose,1
Relieves Anxiety,Dolphin Plank Pose,0
Relieves Anxiety,Easy Pose,1
Relieves Anxiety,Legs-Up-the-Wall Pose,1
Relieves Anxiety,Head-to-Knee Forward Bend,1
Relieves Anxiety,Dolphin Pose,0
Relieves Anxiety,Bound Angle Pose,1
Relieves Anxiety,Wide-Legged Forward Bend,0
Relieves Anxiety,Child's Pose,0
Relieves Anxiety,Double Pigeon Pose,0
Relieves Anxiety,Happy Baby Pose,0
Relieves Anxiety,Downward-Facing Dog,0
Relieves Anxiety,Plow Pose,0
Calms the Mind,Seated Forward Bend,1
Calms the Mind,Big Toe Pose,1
Calms the Mind,Standing Forward Bend,1
Calms the Mind,Corpse Pose,1
Calms the Mind,Supported Headstand,1
Calms the Mind,Supported Shoulderstand,1
Calms the Mind,Bridge Pose,1
Calms the Mind,Dolphin Plank Pose,1
Calms the Mind,Easy Pose,1
Calms the Mind,Legs-Up-the-Wall Pose,1
Calms the Mind,Head-to-Knee Forward Bend,1
Calms the Mind,Dolphin Pose,1
Calms the Mind,Bound Angle Pose,0
Calms the Mind,Wide-Legged Forward Bend,1
Calms the Mind,Child's Pose,1
Calms the Mind,Double Pigeon Pose,0
Calms the Mind,Happy Baby Pose,1
Calms the Mind,Downward-Facing Dog,1
Calms the Mind,Plow Pose,1
Eases Depression,Seated Forward Bend,1
Eases Depression,Big Toe Pose,1
Eases Depression,Standing Forward Bend,1
Eases Depression,Corpse Pose,1
Eases Depression,Supported Headstand,1
Eases Depression,Supported Shoulderstand,1
Eases Depression,Bridge Pose,1
Eases Depression,Dolphin Plank Pose,1
Eases Depression,Easy Pose,1
Eases Depression,Legs-Up-the-Wall Pose,1
Eases Depression,Head-to-Knee Forward Bend,0
Eases Depression,Dolphin Pose,1
Eases Depression,Bound Angle Pose,1
Eases Depression,Wide-Legged Forward Bend,1
Eases Depression,Child's Pose,0
Eases Depression,Double Pigeon Pose,1
Eases Depression,Happy Baby Pose,0
Eases Depression,Downward-Facing Dog,1
Eases Depression,Plow Pose,0
Relieves Stress,Seated Forward Bend,1
Relieves Stress,Big Toe Pose,1
Relieves Stress,Standing Forward Bend,1
Relieves Stress,Corpse Pose,1
Relieves Stress,Supported Headstand,1
Relieves Stress,Supported Shoulderstand,1
Relieves Stress,Bridge Pose,0
Relieves Stress,Dolphin Plank Pose,1
Relieves Stress,Easy Pose,0
Relieves Stress,Legs-Up-the-Wall Pose,0
Relieves Stress,Head-to-Knee Forward Bend,0
Relieves Stress,Dolphin Pose,0
Relieves Stress,Bound Angle Pose,0
Relieves Stress,Wide-Legged Forward Bend,0
Relieves Stress,Child's Pose,1
